Birthplace,Nationality,Player,Position,Debut,Current team
 American Samoa, United States,Penei Sewell,OT,2021,Detroit Lions
 Australia, Australia,Michael Dickson,P,2018,Seattle Seahawks
 Australia, Australia,Jordan Berry,P,2015,Minnesota Vikings
 Australia, Australia,Daniel Faalele,OT,2022,Baltimore Ravens
 Australia, Australia,Cameron Johnston,P,2017,Houston Texans
 Australia, Australia,Arryn Siposs,P,2020,Philadelphia Eagles
 Australia, Australia,Mitch Wishnowsky,P,2019,San Francisco 49ers
 Australia, Australia,Matt Leo,DE,2020,Philadelphia Eagles
 Australia, Australia,Jordan Mailata,OT,2018,Philadelphia Eagles
 Austria, Austria,Sandro Platzgummer,RB,2021,New York Giants
 Austria, Austria,Bernhard Raimann,OT,2022,Indianapolis Colts
 Austria, Austria,Bernhard Seikovits,TE,2021,Arizona Cardinals
 Bahamas, Bahamas,Michael Strachan,WR,2021,Indianapolis Colts
 Belgium, United States,Corliss Waitman,P,2020,Denver Broncos
 Belize, Belize,Rakeem Nuñez-Roches,DE,2015,Tampa Bay Buccaneers
 Brazil, Brazil,Cairo Santos,K,2014,Chicago Bears
 Cameroon, Cameroon,Arnold Ebiketie,DE,2022,Atlanta Falcons
 Canada, Canada,Eli Ankou,NT,2017,Buffalo Bills
 Canada, Canada,Tevaughn Campbell,CB,2019,Los Angeles Chargers
 Canada, Canada,Chase Claypool,WR,2020,Pittsburgh Steelers
 Canada, Canada,Christian Covington,DT,2015,Los Angeles Chargers
 Canada, Canada,Drew Desjarlais,G,2022,New England Patriots
 Canada, Canada,Laurent Duvernay-Tardif,OG,2014,Free agent
 Canada, Canada,Neville Gallimore,DE,2020,Dallas Cowboys
 Canada, Canada,Michael Hoecht,DE,2020,Los Angeles Rams
 Canada, Canada,Jevon Holland,FS,2021,Miami Dolphins
 Canada, Canada,Chuba Hubbard,RB,2021,Carolina Panthers
 Canada, Canada,Ryan Hunter,G,2018,Los Angeles Chargers
 Canada, Canada,Brett Jones,C,2015,Free Agent
 Canada, Canada,Nikola Kalinic,FB/TE,2022,Indianapolis Colts
 Canada, Canada,Brayden Lenius,WR,2022,Atlanta Falcons
 Canada, Canada,Jesse Luketa,OLB,2022,Arizona Cardinals
 Canada, Canada,John Metchie III,WR,2022,Houston Texans
 Canada, Canada,J.J. Molson,K,2020,Green Bay Packers
 Canada, Canada,Josh Palmer,WR,2021,Los Angeles Chargers
 Canada, Canada,Nathan Shepherd,DE,2018,New York Jets
 Canada, Canada,Benjamin St-Juste,CB,2021,Washington Commanders
 Canada,Saint Vincent and the Grenadines Saint Vincent,N'Keal Harry,WR,2019,New England Patriots
 Canada, United States,Alaric Jackson,OT,2021,Los Angeles Rams
 Chile, Chile,Sammis Reyes,TE,2021,Washington Commanders
 Democratic Republic of the Congo, Canada,Jonathan Kongbo,DE,2022,Denver Broncos
 Denmark, Denmark,Hjalte Froholdt,OG,2019,Cleveland Browns
 England, Nigeria,Julian Okwara,DE,2020,Detroit Lions
 Germany, Germany,David Bada,DT,2020,Washington Commanders
 Germany, Germany,Aaron Donkor,OLB,2021,Seattle Seahawks
 Germany, Germany,Dominik Eberle,K,2020,Green Bay Packers
 Germany, Germany,Jakob Johnson,FB,2019,Las Vegas Raiders
 Germany, United States,Vyncint Smith,WR,2018,Tampa Bay Buccaneers
 Ghana, United States,Brian Asamoah,LB,2022,Minnesota Vikings
 Greece, Greece,George Karlaftis,DE,2022,Kansas City Chiefs
 Greece[a], United States,Kyle Hamilton,SS,2022,Baltimore Ravens
 Guinea[b], Liberia /  United States,Kwity Paye,DE,2021,Indianapolis Colts
 Haiti, Haiti,Lewis Cine,S,2022,Minnesota Vikings
 Italy, Italy,Max Pircher,OT,2021,Los Angeles Rams
 Jamaica, Jamaica,Corey Ballentine,CB,2019,Atlanta Falcons
 Jamaica, Jamaica,Danielle Hunter,DE,2015,Minnesota Vikings
 Jamaica, Jamaica,Matt Peart,OT,2020,New York Giants
 Japan, United States,DaeSean Hamilton,WR,2018,Houston Texans
 Kosovo, Canada,Lirim Hajrullahu,K,2020,Carolina Panthers
 Liberia, Liberia,Kelvin Harmon,WR,2019,Washington Commanders
 Mexico, Mexico,Isaac Alarcón,OT,2020,Dallas Cowboys
 Mexico, Mexico,Alfredo Gutierrez,G,2021,San Francisco 49ers
 Nigeria, Nigeria /  United States,Nelson Agholor,WR,2015,New England Patriots
 Nigeria, Nigeria,Jeremiah Attaochu,OLB,2014,Chicago Bears
 Nigeria, Nigeria,Ben Banogu,DE,2019,Indianapolis Colts
 Nigeria, United Kingdom,Efe Obada,DE,2015,Washington Commanders
 Nigeria, Nigeria,Emmanuel Ogbah,OLB,2016,Miami Dolphins
 Nigeria, Canada,Amen Ogbongbemiga,OLB,2021,Los Angeles Chargers
 Nigeria, Nigeria/ United Kingdom,David Ojabo,OLB,2022,Baltimore Ravens
 Nigeria, Nigeria,Chukwuma Okorafor,OT,2018,Pittsburgh Steelers
 Nigeria, Nigeria,Romeo Okwara,DE,2016,Detroit Lions
 Nigeria, Nigeria /  Canada,David Onyemata,DT,2016,New Orleans Saints
 Nigeria, Nigeria,Joseph Ossai,DE,2021,Cincinnati Bengals
 Scotland, United Kingdom /  United States,Graham Gano,K,2009,New York Giants
 Scotland, United Kingdom,Jamie Gillan,P,2019,New York Giants
 South Africa, South Africa,Greg Joseph,K,2018,Minnesota Vikings
 South Korea, South Korea,Younghoe Koo,K,2017,Atlanta Falcons
 Spain, Spain,J. J. Arcega-Whiteside,WR,2019,Philadelphia Eagles
 Tonga, Tonga,Star Lotulelei,DT,2013,Free agent
 Tonga, Tonga,Netane Muti,OG,2020,Denver Broncos
 Trinidad and Tobago, Trinidad and Tobago,Javon Kinlaw,DT,2020,San Francisco 49ers
 Turkey, Turkey /  United States,Chris Conley,WR,2015,Houston Texans
 United States, Canada /  United States,Brett Rypien,QB,2019,Denver Broncos
 United States, Germany /  United States,Amon-Ra St. Brown,WR,2021,Detroit Lions
 United States, Germany /  United States,Equanimeous St. Brown,WR,2018,Chicago Bears
 United States, Nigeria /  United States,Foyesade Oluokun,LB,2018,Jacksonville Jaguars
 Venezuela, Venezuela,José Borregales,K,2021,Tampa Bay Buccaneers
